match_name,match_level,match_date,shooter,div,class,power_factor,cat,stg,factor,pts,a,c,d,ded,mi,ns,pe,ot,time
2025_MA5_2,2,2025-02-23,"FARNETANI, EUGENIO",S,C,Minor,GS,Stage 1,2.7344,91,16,7,0,0,1,0,0,,33.28
2025_MA5_2,2,2025-02-23,"TENAN, ANDREA",PO,D,Minor,,Stage 8,6.0558,154,29,3,0,0,0,0,0,,25.43
2025_MA5_2,2,2025-02-23,"TENAN, ANDREA",PO,D,Minor,,Stage 7,3.5088,58,11,1,0,0,0,0,0,,16.53
2025_MA5_2,2,2025-02-23,"TENAN, ANDREA",PO,D,Minor,,Stage 6,4.0881,52,8,4,0,0,0,0,0,,12.72
2025_MA5_2,2,2025-02-23,"TENAN, ANDREA",PO,D,Minor,,Stage 5,3.555,54,10,1,1,0,0,0,0,,15.19
2025_MA5_2,2,2025-02-23,"TENAN, ANDREA",PO,D,Minor,,Stage 4,4.0656,114,21,3,0,0,0,0,0,,28.04
2025_MA5_2,2,2025-02-23,"TENAN, ANDREA",PO,D,Minor,,Stage 3,5.2898,136,22,8,2,0,0,0,0,,25.71
2025_MA5_2,2,2025-02-23,"TENAN, ANDREA",PO,D,Minor,,Stage 2,1.7249,41,9,2,0,0,1,0,0,,23.77
2025_MA5_2,2,2025-02-23,"TENAN, ANDREA",PO,D,Minor,,Stage 1,3.4536,89,16,6,1,0,1,0,0,,25.77
2025_MA5_2,2,2025-02-23,"IACOBINI, ALESSANDRO",P,D,Minor,S,Stage 8,3.6081,123,21,9,1,0,1,0,0,,34.09
2025_MA5_2,2,2025-02-23,"IACOBINI, ALESSANDRO",P,D,Minor,S,Stage 7,2.4628,58,11,1,0,0,0,0,0,,23.55
2025_MA5_2,2,2025-02-23,"IACOBINI, ALESSANDRO",P,D,Minor,S,Stage 6,2.0858,52,9,2,1,0,0,0,0,,24.93
2025_MA5_2,2,2025-02-23,"IACOBINI, ALESSANDRO",P,D,Minor,S,Stage 5,1.9807,43,10,1,0,0,1,0,0,,21.71
2025_MA5_2,2,2025-02-23,"IACOBINI, ALESSANDRO",P,D,Minor,S,Stage 4,2.3532,97,19,4,0,0,1,0,0,,41.22
2025_MA5_2,2,2025-02-23,"IACOBINI, ALESSANDRO",P,D,Minor,S,Stage 3,4.6031,138,21,11,0,0,0,0,0,,29.98
2025_MA5_2,2,2025-02-23,"IACOBINI, ALESSANDRO",P,D,Minor,S,Stage 2,2.5343,48,8,2,2,0,0,0,0,,18.94
2025_MA5_2,2,2025-02-23,"IACOBINI, ALESSANDRO",P,D,Minor,S,Stage 1,2.482,93,17,6,0,0,1,0,0,,37.47
2025_MA5_2,2,2025-02-23,"PORREGA, MARCO",P,D,Minor,SS,Stage 8,3.3689,142,23,9,0,0,0,0,0,,42.15
2025_MA5_2,2,2025-02-23,"PORREGA, MARCO",P,D,Minor,SS,Stage 7,3.0848,48,8,2,2,0,0,0,0,,15.56
2025_MA5_2,2,2025-02-23,"DE ANGELIS, GIUSEPPE",P,C,Minor,,Stage 2,0.9058,45,11,0,0,0,1,0,0,,49.68
2025_MA5_2,2,2025-02-23,"PLACIDI, ANDREA",P,D,Minor,,Stage 1,2.099,70,13,8,1,0,2,0,0,,33.35
2025_MA5_2,2,2025-02-23,"DE ANGELIS, GIUSEPPE",P,C,Minor,,Stage 1,4.0685,95,18,5,0,0,1,0,0,,23.35
2025_MA5_2,2,2025-02-23,"CARUSO, FABIO",P,A,Minor,S,Stage 7,3.8781,56,10,2,0,0,0,0,0,,14.44
2025_MA5_2,2,2025-02-23,"SANTORO, AGOSTINO",P,C,Minor,S,Stage 1,3.4341,75,15,6,2,0,1,1,0,,21.84
2025_MA5_2,2,2025-02-23,"CETI, GRAZIANO",P,B,Minor,S,Stage 8,5.7325,135,26,5,0,0,1,0,0,,23.55
2025_MA5_2,2,2025-02-23,"CETI, GRAZIANO",P,B,Minor,S,Stage 7,3.7958,58,11,1,0,0,0,0,0,,15.28
2025_MA5_2,2,2025-02-23,"CETI, GRAZIANO",P,B,Minor,S,Stage 6,5.5158,54,9,3,0,0,0,0,0,,9.79
2025_MA5_2,2,2025-02-23,"CETI, GRAZIANO",P,B,Minor,S,Stage 5,5.2158,58,11,1,0,0,0,0,0,,11.12
2025_MA5_2,2,2025-02-23,"CETI, GRAZIANO",P,B,Minor,S,Stage 4,6.6667,114,21,3,0,0,0,0,0,,17.1
2025_MA5_2,2,2025-02-23,"CETI, GRAZIANO",P,B,Minor,S,Stage 3,6.9583,140,23,8,1,0,0,0,0,,20.12
2025_MA5_2,2,2025-02-23,"CETI, GRAZIANO",P,B,Minor,S,Stage 2,2.9988,52,9,2,1,0,0,0,0,,17.34
2025_MA5_2,2,2025-02-23,"CETI, GRAZIANO",P,B,Minor,S,Stage 1,5.6275,100,15,8,1,0,0,0,0,,17.77
2025_MA5_2,2,2025-02-23,"COLASANTI, LUIGI",S,B,Minor,S,Stage 8,5.0255,148,27,4,1,0,0,0,0,,29.45
2025_MA5_2,2,2025-02-23,"COLASANTI, LUIGI",S,B,Minor,S,Stage 7,3.7014,60,12,0,0,0,0,0,0,,16.21
2025_MA5_2,2,2025-02-23,"SANTORO, AGOSTINO",P,C,Minor,S,Stage 2,0.907,36,6,5,1,0,0,0,1,,39.69
2025_MA5_2,2,2025-02-23,"COLASANTI, LUIGI",S,B,Minor,S,Stage 6,3.2721,41,9,2,0,0,1,0,0,,12.53
2025_MA5_2,2,2025-02-23,"COLASANTI, LUIGI",S,B,Minor,S,Stage 4,4.1026,104,19,2,3,0,0,0,0,,25.35
2025_MA5_2,2,2025-02-23,"COLASANTI, LUIGI",S,B,Minor,S,Stage 3,4.9157,140,22,10,0,0,0,0,0,,28.48
2025_MA5_2,2,2025-02-23,"COLASANTI, LUIGI",S,B,Minor,S,Stage 2,2.2373,43,10,1,0,0,1,0,0,,19.22
2025_MA5_2,2,2025-02-23,"COLASANTI, LUIGI",S,B,Minor,S,Stage 1,3.9857,89,16,6,1,0,1,0,0,,22.33
2025_MA5_2,2,2025-02-23,"MALANDRA, CLAUDIO",P,D,Minor,S,Stage 8,5.3298,139,28,3,0,0,1,0,0,,26.08
2025_MA5_2,2,2025-02-23,"MALANDRA, CLAUDIO",P,D,Minor,S,Stage 7,3.0405,54,10,1,1,0,0,0,0,,17.76
2025_MA5_2,2,2025-02-23,"MALANDRA, CLAUDIO",P,D,Minor,S,Stage 6,3.5471,52,9,2,1,0,0,0,0,,14.66
2025_MA5_2,2,2025-02-23,"MALANDRA, CLAUDIO",P,D,Minor,S,Stage 5,3.6145,54,9,3,0,0,0,0,0,,14.94
2025_MA5_2,2,2025-02-23,"MALANDRA, CLAUDIO",P,D,Minor,S,Stage 4,4.7909,110,20,3,1,0,0,0,0,,22.96
2025_MA5_2,2,2025-02-23,"MALANDRA, CLAUDIO",P,D,Minor,S,Stage 3,5.6523,146,26,5,1,0,0,0,0,,25.83
2025_MA5_2,2,2025-02-23,"MALANDRA, CLAUDIO",P,D,Minor,S,Stage 2,3.653,56,10,2,0,0,0,0,0,,15.33
